domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
consent.yahoo.com,0.056910506385773885,0.10531870096073498,0.26431075023635536,0.23207234057176565,767.0
36kr.com,0.060771256749342306,0.09096574477864167,0.2671483961258327,0.21381376408303196,356.0
www.cnbeta.com.tw,0.04525810712690393,0.08036647810112918,0.2782897287840192,0.2257999155363415,217.0
www.ithome.com,0.0674577135499101,0.09119678384016465,0.2844700409791342,0.21596006152681607,179.0
tw.news.yahoo.com,0.04521675618479491,0.1048133936254944,0.25541246895526426,0.21809859896329298,172.0
hk.news.yahoo.com,0.10501000517378417,0.1407717501526712,0.36379435817094763,0.21283395857411833,91.0
www.ftchinese.com,0.033075308219706126,0.07006365084059518,0.19375222785355176,0.22592244016496266,44.0
www.toodaylab.com,0.09307885969696757,0.0940656962043134,0.26305069906419687,0.2256648224789089,40.0
www.techbang.com,0.09264401767664755,0.12501265554380142,0.30155959746122085,0.24145496584157788,35.0
tw.stock.yahoo.com,0.02037929582092287,0.08183934084090035,0.18594173181535278,0.1898999652805521,32.0
www.geekpark.net,0.03868175782709778,0.08347435395088261,0.1719087776383422,0.2173074540098905,26.0
www.secretchina.com,0.015980147501269044,0.05987041905053116,0.2415171297329153,0.18897543125624666,22.0
www.newmobilelife.com,-0.012249630890415326,0.1049983512487086,0.3315896206967635,0.23417420120176224,14.0
www.huxiu.com,0.08345431411425512,0.12901147219444078,0.3119890620665828,0.24299592637315318,12.0
tw.sports.yahoo.com,0.04019944341372913,0.0889391498401123,0.16023139558853844,0.2216893961388758,11.0
www.williamlong.info,0.025231481481481483,0.03579215741242681,0.14622319688109162,0.18620291414646284,4.0
www.newsmarket.com.tw,0.0,0.0,0.0,0.0,4.0
www.dw.com,-0.0035879629629629595,0.12496934637859619,0.2466435185185185,0.19904944399744684,4.0
hk.finance.yahoo.com,0.048556443556443556,0.07423064425190369,0.1691270188145188,0.19529344244284932,4.0
technews.tw,0.07958333333333333,0.05330077130982461,0.36347222222222225,0.2518448902904963,4.0
www.yahoo-news.com.hk,0.07885555555555555,0.1232077573916573,0.31553333333333333,0.3386507017234392,3.0
womany.net,0.115,0.19091883092036785,0.52,0.5374011537017761,2.0
www.ruanyifeng.com,0.23767676767676768,0.14084995681816886,0.49304292929292926,0.0676929749363182,2.0
bajenny.com,0.07831597222222221,0.11075551006710123,0.2590277777777777,0.3663205963646974,2.0
www.inmediahk.net,-0.019791666666666666,0.027989643421967504,0.22252604166666667,0.3146993461062005,2.0
www.ifanr.com,0.039350649350649344,0.05565022199987633,0.15146645021645022,0.2142059081406131,2.0
www.ithome.com.tw,0.0,1.0,0.0,1.0,1.0
www.dgtle.com,0.0,1.0,0.0,1.0,1.0
www.openstreetmap.org,0.0,1.0,0.0,1.0,1.0
www.bbc.com,0.0,1.0,0.0,1.0,1.0
ifans.pixnet.net,0.0,1.0,0.0,1.0,1.0
www.cnblogs.com,0.0,1.0,0.0,1.0,1.0
finance.technews.tw,0.0,1.0,0.0,1.0,1.0
www.toy-people.com,0.0,1.0,0.0,1.0,1.0
blog.codingnow.com,0.0,1.0,0.0,1.0,1.0
www.winandmac.com,0.0,1.0,0.0,1.0,1.0
popbee.com,0.0,1.0,0.0,1.0,1.0
